===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2015-01-02 00:00:00,41.54285215896153,41.77226666555343,41.17005677636708,41.399471282958984,1784200.0,,KDJStrategy,1,735600.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2015-01-05 00:00:00,41.34211809540891,41.70535622337194,41.07447086765719,41.15093994140625,3112100.0,,KDJStrategy,2,735603.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2015-01-06 00:00:00,41.24651992324999,41.44725529092711,40.43401389542221,40.74945831298828,3977200.0,,KDJStrategy,3,735604.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2015-01-07 00:00:00,41.10314026487204,41.63843828800928,41.08402208764362,41.590641021728516,2481800.0,,KDJStrategy,4,735605.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2015-01-08 00:00:00,42.77595360523427,42.89065905200478,42.05903818168286,42.23109817504883,3121300.0,,KDJStrategy,5,735606.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2015-01-09 00:00:00,42.11638691420746,42.4796213865738,41.753148795421225,42.298004150390625,2999100.0,,KDJStrategy,6,735607.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2015-01-12 00:00:00,42.38403380445561,42.38403380445561,41.38035308715572,41.504615783691406,2168300.0,,KDJStrategy,7,735610.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2015-01-13 00:00:00,41.95387620746898,42.269320640388514,40.692105768629254,40.9215202331543,3668600.0,,KDJStrategy,8,735611.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2015-01-14 00:00:00,40.625197915684105,41.322994995253744,40.42446251877083,41.13181686401367,2481300.0,,KDJStrategy,9,735612.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2015-01-15 00:00:00,41.361243813931246,41.83918746283766,41.00756653473829,41.045799255371094,2719300.0,,KDJStrategy,10,735613.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2015-01-16 00:00:00,40.911960097520264,42.336233235401245,40.88328465631826,42.26932144165039,2761600.0,,KDJStrategy,11,735614.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2015-01-20 00:00:00,42.32965717233979,42.32965717233979,41.39112676655084,41.716739654541016,3471000.0,,KDJStrategy,12,735618.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2015-01-21 00:00:00,41.7263185697046,42.74146558131956,41.60181854628086,42.37754440307617,1991900.0,,KDJStrategy,13,735619.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2015-01-22 00:00:00,42.47330794253126,42.923420845960955,41.80293168628694,42.62653732299805,2914700.0,,KDJStrategy,14,735620.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2015-01-23 00:00:00,42.63612713372669,42.9042777049001,42.109401231802835,42.2530517578125,2885500.0,,KDJStrategy,15,735621.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2015-01-26 00:00:00,42.17642833191265,42.43500359802801,41.994465929862976,42.22431182861328,1926800.0,,KDJStrategy,16,735624.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
