===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,KDJ_MACDStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2015-01-02 00:00:00,41.542863642688225,41.77227821269738,41.170068157041634,41.39948272705078,1784200.0,,KDJ_MACDStrategy,1,735600.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2015-01-05 00:00:00,41.34212192782841,41.705360089463674,41.07447467526576,41.150943756103516,3112100.0,,KDJ_MACDStrategy,2,735603.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2015-01-06 00:00:00,41.246535368165645,41.44727081100889,40.43402903609191,40.749473571777344,3977200.0,,KDJ_MACDStrategy,3,735604.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2015-01-07 00:00:00,41.103144034855696,41.63844210709052,41.084025855873755,41.59064483642578,2481800.0,,KDJ_MACDStrategy,4,735605.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2015-01-08 00:00:00,42.7759497413207,42.890655177729975,42.05903438252762,42.23109436035156,3121300.0,,KDJ_MACDStrategy,5,735606.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2015-01-09 00:00:00,42.116398309161134,42.4796328798037,41.75316009209767,42.29801559448242,2999100.0,,KDJ_MACDStrategy,6,735607.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2015-01-12 00:00:00,42.38403380445561,42.38403380445561,41.38035308715572,41.504615783691406,2168300.0,,KDJ_MACDStrategy,7,735610.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2015-01-13 00:00:00,41.95388402933561,42.2693285210665,40.69211335525183,40.92152786254883,3668600.0,,KDJ_MACDStrategy,8,735611.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2015-01-14 00:00:00,40.62520545110769,41.323002660109225,40.42447001696072,41.1318244934082,2481300.0,,KDJ_MACDStrategy,9,735612.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2015-01-15 00:00:00,41.3612361259034,41.839179685971956,41.007558912450264,41.04579162597656,2719300.0,,KDJ_MACDStrategy,10,735613.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2015-01-16 00:00:00,40.91196748191807,42.336240876873006,40.8832920355403,42.26932907104492,2761600.0,,KDJ_MACDStrategy,11,735614.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2015-01-20 00:00:00,42.32966104308398,42.32966104308398,41.39113055147314,41.71674346923828,3471000.0,,KDJ_MACDStrategy,12,735618.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2015-01-21 00:00:00,41.7263223257805,42.74146942877589,41.601822291149645,42.37754821777344,1991900.0,,KDJ_MACDStrategy,13,735619.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2015-01-22 00:00:00,42.47330794253126,42.923420845960955,41.80293168628694,42.62653732299805,2914700.0,,KDJ_MACDStrategy,14,735620.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2015-01-23 00:00:00,42.63612713372669,42.9042777049001,42.109401231802835,42.2530517578125,2885500.0,,KDJ_MACDStrategy,15,735621.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
