===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MacdCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2015-01-02 00:00:00,41.54285981477933,41.772274363649395,41.17006436348345,41.399478912353516,1784200.0,,MacdCross,1,735600.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2015-01-05 00:00:00,41.342110430569896,41.7053484911885,41.07446325244005,41.15093231201172,3112100.0,,MacdCross,2,735603.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2015-01-06 00:00:00,41.24653922939457,41.44727469102934,40.434032821259336,40.74947738647461,3977200.0,,MacdCross,3,735604.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2015-01-07 00:00:00,41.10314026487204,41.63843828800928,41.08402208764362,41.590641021728516,2481800.0,,MacdCross,4,735605.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2015-01-08 00:00:00,42.77595360523427,42.89065905200478,42.05903818168286,42.23109817504883,3121300.0,,MacdCross,5,735606.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2015-01-09 00:00:00,42.11639451084324,42.47962904872707,41.75315632653886,42.298011779785156,2999100.0,,MacdCross,6,735607.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2015-01-12 00:00:00,42.38402601340612,42.38402601340612,41.380345480603204,41.504608154296875,2168300.0,,MacdCross,7,735610.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2015-01-13 00:00:00,41.95387620746898,42.269320640388514,40.692105768629254,40.9215202331543,3668600.0,,MacdCross,8,735611.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2015-01-14 00:00:00,40.62520545110769,41.323002660109225,40.42447001696072,41.1318244934082,2481300.0,,MacdCross,9,735612.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2015-01-15 00:00:00,41.3612361259034,41.839179685971956,41.007558912450264,41.04579162597656,2719300.0,,MacdCross,10,735613.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2015-01-16 00:00:00,40.911963789719174,42.33623705613713,40.88328834592929,42.269325256347656,2761600.0,,MacdCross,11,735614.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2015-01-20 00:00:00,42.32965717233979,42.32965717233979,41.39112676655084,41.716739654541016,3471000.0,,MacdCross,12,735618.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2015-01-21 00:00:00,41.7263223257805,42.74146942877589,41.601822291149645,42.37754821777344,1991900.0,,MacdCross,13,735619.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2015-01-22 00:00:00,42.47331174351585,42.923424687226664,41.8029354272788,42.62654113769531,2914700.0,,MacdCross,14,735620.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2015-01-23 00:00:00,42.63612713372669,42.9042777049001,42.109401231802835,42.2530517578125,2885500.0,,MacdCross,15,735621.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2015-01-26 00:00:00,42.17643214228395,42.435007431759935,41.994469723795135,42.22431564331055,1926800.0,,MacdCross,16,735624.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2015-01-27 00:00:00,41.75505909590777,42.042367481079744,41.381562579117656,41.46775436401367,3008300.0,,MacdCross,17,735625.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
